function_name,axis,complexity,run_index,model,mutants_total,mutants_killed,mutation_score,tokens_in,tokens_out,seconds_elapsed,tests_generated,tests_kept,error
apply_discount,pure,simple,0,gpt-4o-mini,69,66,95.65217391304348,657,402,71.36126820000209,6,3,
apply_discount,pure,simple,1,gpt-4o-mini,69,67,97.10144927536231,657,413,71.28087310000046,6,5,
apply_discount,pure,simple,2,gpt-4o-mini,69,67,97.10144927536231,657,416,74.95321889999832,4,3,
apply_discount,pure,simple,3,gpt-4o-mini,69,66,95.65217391304348,657,402,77.23816269999952,6,3,
apply_discount,pure,simple,4,gpt-4o-mini,69,67,97.10144927536231,657,486,78.9888706999991,7,7,
can_access_resource,pure,medium,0,gpt-4o-mini,45,40,88.88888888888889,726,735,53.629565100000036,14,14,
can_access_resource,pure,medium,1,gpt-4o-mini,45,40,88.88888888888889,726,735,53.503073899999436,14,14,
can_access_resource,pure,medium,2,gpt-4o-mini,45,40,88.88888888888889,726,735,54.031468199998926,14,14,
can_access_resource,pure,medium,3,gpt-4o-mini,45,40,88.88888888888889,726,735,53.26556229999915,14,14,
can_access_resource,pure,medium,4,gpt-4o-mini,45,40,88.88888888888889,726,735,53.502892799999245,14,14,
check_permission,pure,simple,0,gpt-4o-mini,55,43,78.18181818181819,608,426,64.47621039999649,7,7,
check_permission,pure,simple,1,gpt-4o-mini,55,43,78.18181818181819,608,426,62.95495429999937,7,7,
check_permission,pure,simple,2,gpt-4o-mini,55,43,78.18181818181819,608,426,64.1476361999994,7,7,
check_permission,pure,simple,3,gpt-4o-mini,55,43,78.18181818181819,608,443,63.47897749999902,7,7,
check_permission,pure,simple,4,gpt-4o-mini,55,43,78.18181818181819,608,392,64.38829839999744,6,6,
is_future_date,pure,simple,0,gpt-4o-mini,128,8,6.25,617,409,142.57505010000023,6,2,
is_future_date,pure,simple,1,gpt-4o-mini,128,8,6.25,617,451,141.72486189999836,6,2,
is_future_date,pure,simple,2,gpt-4o-mini,128,8,6.25,617,441,142.1699645000008,6,2,
is_future_date,pure,simple,3,gpt-4o-mini,128,8,6.25,617,409,145.95644040000116,6,2,
is_future_date,pure,simple,4,gpt-4o-mini,128,8,6.25,617,433,144.09121250000317,6,2,
parse_log_line,pure,simple,0,gpt-4o-mini,98,27,27.551020408163264,1011,336,110.99975760000234,4,3,
parse_log_line,pure,simple,1,gpt-4o-mini,98,65,66.3265306122449,1011,443,113.17435549999936,4,3,
